Molecule1_KEGG,Molecule2_KEGG,USRCAT_Score
C00063,C00092,0.0797
C00063,C05345,0.0813
C00063,C00354,0.0923
C00063,C00111,0.0749
C00063,C00029,0.1006
C00063,C01159,0.0754
C00063,C00197,0.0726
C00063,C00631,0.0689
C00063,C00074,0.0715
C00063,C00022,0.0642
C00063,C00345,0.0867
C00063,C00199,0.082
C00063,C00117,0.0788
C00063,C00279,0.0744
C00063,C04442,0.0983
C00063,C00227,0.0655
C00063,C00010,0.1333
C00063,C00158,0.0732
C00063,C00451,0.0728
C00063,C00026,0.0739
C00063,C00042,0.072
C00063,C00122,0.0714
C00063,C00149,0.0701
C00063,C00036,0.0714
C00063,C00048,0.0626
C00063,C00003,0.1037
C00063,C00006,0.1008
C00063,C00020,0.1288
C00063,C00008,0.1813
C00063,C00002,0.215
C00063,C00144,0.1239
C00063,C00035,0.1708
C00063,C00044,0.2002
C00063,C00055,0.159
C00063,C00112,0.2718
C00105,C00092,0.1269
C00105,C05345,0.131
C00105,C00354,0.153
C00105,C00111,0.118
C00105,C00029,0.0765
C00105,C01159,0.1193
C00105,C00197,0.1114
C00105,C00631,0.1043
C00105,C00074,0.109
C00105,C00022,0.093
C00105,C00345,0.1453
C00105,C00199,0.1346
C00105,C00117,0.1272
C00105,C00279,0.1175
C00105,C04442,0.1785
C00105,C00227,0.0957
C00105,C00010,0.1276
C00105,C00158,0.1128
C00105,C00451,0.1118
C00105,C00026,0.1135
C00105,C00042,0.1101
C00105,C00122,0.1095
C00105,C00149,0.1062
C00105,C00036,0.109
C00105,C00048,0.0896
C00105,C00003,0.0793
C00105,C00006,0.0767
C00105,C00020,0.2511
C00105,C00008,0.1664
C00105,C00002,0.1274
C00105,C00144,0.2325
C00105,C00035,0.1587
C00105,C00044,0.1231
C00105,C00055,0.5855
C00105,C00112,0.2533
C00105,C00063,0.159
C00015,C00092,0.0989
C00015,C05345,0.1019
C00015,C00354,0.1172
C00015,C00111,0.0914
C00015,C00029,0.0875
C00015,C01159,0.0925
C00015,C00197,0.0883
C00015,C00631,0.0836
C00015,C00074,0.0866
C00015,C00022,0.0763
C00015,C00345,0.1118
C00015,C00199,0.1033
C00015,C00117,0.0971
C00015,C00279,0.0915
C00015,C04442,0.1289
C00015,C00227,0.0782
C00015,C00010,0.1491
C00015,C00158,0.0892
C00015,C00451,0.0885
C00015,C00026,0.0904
C00015,C00042,0.0875
C00015,C00122,0.0871
C00015,C00149,0.0846
C00015,C00036,0.0867
C00015,C00048,0.074
C00015,C00003,0.0934
C00015,C00006,0.0886
C00015,C00020,0.1823
C00015,C00008,0.2265
C00015,C00002,0.1587
C00015,C00144,0.1733
C00015,C00035,0.2058
C00015,C00044,0.152
C00015,C00055,0.255
C00015,C00112,0.6569
C00015,C00063,0.2732
C00015,C00105,0.2629
C00075,C00092,0.0794
C00075,C05345,0.0808
C00075,C00354,0.0916
C00075,C00111,0.0746
C00075,C00029,0.0991
C00075,C01159,0.0751
C00075,C00197,0.0723
C00075,C00631,0.069
C00075,C00074,0.0712
C00075,C00022,0.064
C00075,C00345,0.0869
C00075,C00199,0.0815
C00075,C00117,0.0784
C00075,C00279,0.0742
C00075,C04442,0.0974
C00075,C00227,0.0653
C00075,C00010,0.1334
C00075,C00158,0.0728
C00075,C00451,0.0723
C00075,C00026,0.0736
C00075,C00042,0.0717
C00075,C00122,0.0715
C00075,C00149,0.0699
C00075,C00036,0.0711
C00075,C00048,0.0624
C00075,C00003,0.1043
C00075,C00006,0.0997
C00075,C00020,0.1269
C00075,C00008,0.1766
C00075,C00002,0.208
C00075,C00144,0.1226
C00075,C00035,0.1674
C00075,C00044,0.1919
C00075,C00055,0.1567
C00075,C00112,0.2662
C00075,C00063,0.6896
C00075,C00105,0.1603
C00075,C00015,0.2755
C00130,C00092,0.2382
C00130,C05345,0.2285
C00130,C00354,0.2006
C00130,C00111,0.1995
C00130,C00029,0.0672
C00130,C01159,0.215
C00130,C00197,0.2005
C00130,C00631,0.1843
C00130,C00074,0.1489
C00130,C00022,0.1208
C00130,C00345,0.222
C00130,C00199,0.2116
C00130,C00117,0.2161
C00130,C00279,0.2063
C00130,C04442,0.1696
C00130,C00227,0.1321
C00130,C00010,0.0915
C00130,C00158,0.1587
C00130,C00451,0.1626
C00130,C00026,0.1632
C00130,C00042,0.1489
C00130,C00122,0.1488
C00130,C00149,0.1553
C00130,C00036,0.1558
C00130,C00048,0.1357
C00130,C00003,0.0695
C00130,C00006,0.0667
C00130,C00020,0.2207
C00130,C00008,0.1475
C00130,C00002,0.114
C00130,C00144,0.2408
C00130,C00035,0.1565
C00130,C00044,0.1161
C00130,C00055,0.1698
C00130,C00112,0.119
C00130,C00063,0.0917
C00130,C00105,0.1679
C00130,C00015,0.1193
C00130,C00075,0.092
C00575,C00092,0.1911
C00575,C05345,0.2058
C00575,C00354,0.2415
C00575,C00111,0.1601
C00575,C00029,0.0798
C00575,C01159,0.1661
C00575,C00197,0.1609
C00575,C00631,0.1397
C00575,C00074,0.1252
C00575,C00022,0.1032
C00575,C00345,0.2202
C00575,C00199,0.212
C00575,C00117,0.1856
C00575,C00279,0.1628
C00575,C04442,0.1766
C00575,C00227,0.1093
C00575,C00010,0.1003
C00575,C00158,0.1331
C00575,C00451,0.1302
C00575,C00026,0.1315
C00575,C00042,0.1276
C00575,C00122,0.1259
C00575,C00149,0.1254
C00575,C00036,0.1253
C00575,C00048,0.1141
C00575,C00003,0.077
C00575,C00006,0.0732
C00575,C00020,0.246
C00575,C00008,0.1623
C00575,C00002,0.1192
C00575,C00144,0.2621
C00575,C00035,0.1695
C00575,C00044,0.121
C00575,C00055,0.1833
C00575,C00112,0.1308
C00575,C00063,0.0979
C00575,C00105,0.1766
C00575,C00015,0.1291
C00575,C00075,0.0976
C00575,C00130,0.2297
C00942,C00092,0.2092
C00942,C05345,0.2069
C00942,C00354,0.2546
C00942,C00111,0.1674
C00942,C00029,0.0747
C00942,C01159,0.1741
C00942,C00197,0.164
C00942,C00631,0.1428
C00942,C00074,0.1282
C00942,C00022,0.1033
C00942,C00345,0.2273
C00942,C00199,0.2076
C00942,C00117,0.1842
C00942,C00279,0.1646
C00942,C04442,0.1749
C00942,C00227,0.111
C00942,C00010,0.1027
C00942,C00158,0.1328
C00942,C00451,0.1357
C00942,C00026,0.137
C00942,C00042,0.1277
C00942,C00122,0.126
C00942,C00149,0.131
C00942,C00036,0.1305
C00942,C00048,0.1142
C00942,C00003,0.0776
C00942,C00006,0.0739
C00942,C00020,0.3217
C00942,C00008,0.1983
C00942,C00002,0.1381
C00942,C00144,0.3869
C00942,C00035,0.2176
C00942,C00044,0.1434
C00942,C00055,0.207
C00942,C00112,0.1455
C00942,C00063,0.1072
C00942,C00105,0.1983
C00942,C00015,0.1428
C00942,C00075,0.1065
C00942,C00130,0.3142
C00942,C00575,0.3194
C00119,C00092,0.2277
C00119,C05345,0.2531
C00119,C00354,0.3786
C00119,C00111,0.1921
C00119,C00029,0.0746
C00119,C01159,0.1959
C00119,C00197,0.1843
C00119,C00631,0.1576
C00119,C00074,0.1372
C00119,C00022,0.1151
C00119,C00345,0.2926
C00119,C00199,0.2633
C00119,C00117,0.2297
C00119,C00279,0.1913
C00119,C04442,0.2262
C00119,C00227,0.1219
C00119,C00010,0.0927
C00119,C00158,0.1486
C00119,C00451,0.1482
C00119,C00026,0.1519
C00119,C00042,0.1463
C00119,C00122,0.144
C00119,C00149,0.1379
C00119,C00036,0.1418
C00119,C00048,0.1287
C00119,C00003,0.0708
C00119,C00006,0.0689
C00119,C00020,0.2242
C00119,C00008,0.176
C00119,C00002,0.1286
C00119,C00144,0.2166
C00119,C00035,0.1733
C00119,C00044,0.1277
C00119,C00055,0.1669
C00119,C00112,0.1381
C00119,C00063,0.1043
C00119,C00105,0.1541
C00119,C00015,0.1344
C00119,C00075,0.1035
C00119,C00130,0.1625
C00119,C00575,0.2089
C00119,C00942,0.1939
C00166,C00092,0.1359
C00166,C05345,0.1365
C00166,C00354,0.1222
C00166,C00111,0.1429
C00166,C00029,0.0593
C00166,C01159,0.1462
C00166,C00197,0.1471
C00166,C00631,0.1411
C00166,C00074,0.1473
C00166,C00022,0.1675
C00166,C00345,0.1302
C00166,C00199,0.1349
C00166,C00117,0.1405
C00166,C00279,0.1483
C00166,C04442,0.1439
C00166,C00227,0.1426
C00166,C00010,0.084
C00166,C00158,0.1626
C00166,C00451,0.1575
C00166,C00026,0.1656
C00166,C00042,0.1682
C00166,C00122,0.1652
C00166,C00149,0.1478
C00166,C00036,0.1554
C00166,C00048,0.1403
C00166,C00003,0.0617
C00166,C00006,0.0597
C00166,C00020,0.1248
C00166,C00008,0.098
C00166,C00002,0.0822
C00166,C00144,0.1265
C00166,C00035,0.0989
C00166,C00044,0.0826
C00166,C00055,0.1385
C00166,C00112,0.1031
C00166,C00063,0.0827
C00166,C00105,0.1382
C00166,C00015,0.1038
C00166,C00075,0.0825
C00166,C00130,0.1756
C00166,C00575,0.1296
C00166,C00942,0.1401
C00166,C00119,0.113
C00352,C00092,0.642
C00352,C05345,0.6816
C00352,C00354,0.3246
C00352,C00111,0.3776
C00352,C00029,0.0627
C00352,C01159,0.4519
C00352,C00197,0.4064
C00352,C00631,0.3056
C00352,C00074,0.2371
C00352,C00022,0.1686
C00352,C00345,0.3885
C00352,C00199,0.4545
C00352,C00117,0.5967
C00352,C00279,0.4278
C00352,C04442,0.2504
C00352,C00227,0.1878
C00352,C00010,0.0753
C00352,C00158,0.2649
C00352,C00451,0.2672
C00352,C00026,0.277
C00352,C00042,0.2442
C00352,C00122,0.2379
C00352,C00149,0.2505
C00352,C00036,0.2503
C00352,C00048,0.1997
C00352,C00003,0.0607
C00352,C00006,0.0586
C00352,C00020,0.1526
C00352,C00008,0.1155
C00352,C00002,0.0919
C00352,C00144,0.1609
C00352,C00035,0.1209
C00352,C00044,0.0942
C00352,C00055,0.1289
C00352,C00112,0.0982
C00352,C00063,0.0788
C00352,C00105,0.1252
C00352,C00015,0.0976
C00352,C00075,0.0783
C00352,C00130,0.2351
C00352,C00575,0.193
C00352,C00942,0.2033
C00352,C00119,0.2279
C00352,C00166,0.139
C03878,C00092,0.2336
C03878,C05345,0.2394
C03878,C00354,0.1793
C03878,C00111,0.2403
C03878,C00029,0.0634
C03878,C01159,0.2537
C03878,C00197,0.2452
C03878,C00631,0.2183
C03878,C00074,0.2324
C03878,C00022,0.1617
C03878,C00345,0.2121
C03878,C00199,0.2261
C03878,C00117,0.2621
C03878,C00279,0.2625
C03878,C04442,0.1983
C03878,C00227,0.2093
C03878,C00010,0.081
C03878,C00158,0.2403
C03878,C00451,0.2351
C03878,C00026,0.2232
C03878,C00042,0.2173
C03878,C00122,0.2181
C03878,C00149,0.2195
C03878,C00036,0.2199
C03878,C00048,0.1674
C03878,C00003,0.0611
C03878,C00006,0.0597
C03878,C00020,0.116
C03878,C00008,0.0943
C03878,C00002,0.0794
C03878,C00144,0.1138
C03878,C00035,0.0918
C03878,C00044,0.0778
C03878,C00055,0.1242
C03878,C00112,0.0966
C03878,C00063,0.0789
C03878,C00105,0.1267
C03878,C00015,0.0984
C03878,C00075,0.0792
C03878,C00130,0.1493
C03878,C00575,0.1294
C03878,C00942,0.1276
C03878,C00119,0.157
C03878,C00166,0.1313
C03878,C00352,0.2406
C00864,C00092,0.2044
C00864,C05345,0.2155
C00864,C00354,0.2071
C00864,C00111,0.1832
C00864,C00029,0.0645
C00864,C01159,0.1752
C00864,C00197,0.1698
C00864,C00631,0.1451
C00864,C00074,0.1706
C00864,C00022,0.1247
C00864,C00345,0.2347
C00864,C00199,0.2195
C00864,C00117,0.1947
C00864,C00279,0.1764
C00864,C04442,0.2853
C00864,C00227,0.1362
C00864,C00010,0.0999
C00864,C00158,0.1918
C00864,C00451,0.1805
C00864,C00026,0.1861
C00864,C00042,0.1688
C00864,C00122,0.1658
C00864,C00149,0.1584
C00864,C00036,0.1585
C00864,C00048,0.1187
C00864,C00003,0.0644
C00864,C00006,0.0621
C00864,C00020,0.1302
C00864,C00008,0.1019
C00864,C00002,0.085
C00864,C00144,0.1315
C00864,C00035,0.1018
C00864,C00044,0.0852
C00864,C00055,0.156
C00864,C00112,0.1125
C00864,C00063,0.0889
C00864,C00105,0.1516
C00864,C00015,0.1133
C00864,C00075,0.0885
C00864,C00130,0.1404
C00864,C00575,0.146
